Price,Year,Type,Shift,km,Power,Engine,Seller
24900,2004,Diesel,Manual,270000,70,1248,Dealer
27500,2004,Gasoline,Manual,164000,75,1199,Dealer
42500,2008,Diesel,Auto,300000,90,1248,Dealer
63750,2017,Gasoline,Auto,8780,90,1398,Dealer
25000,2004,Diesel,Manual,200000,70,1248,Owner
28500,2003,Diesel,Manual,130000,76,1601,Dealer
29750,2011,Diesel,Manual,197000,75,1248,Dealer
19250,2000,Gasoline,Manual,169000,65,1199,Dealer
37500,2007,Gasoline,Auto,97000,76,1201,Owner
21250,1999,LPG,Manual,221000,90,1389,Owner
31000,2004,LPG,Auto,80000,75,1199,Dealer
36850,2010,Gasoline,Auto,53000,76,1200,Dealer
37000,2012,Diesel,Manual,130000,75,1248,Owner
50000,2015,Gasoline,Auto,55000,90,1398,Dealer
41750,2011,Diesel,Manual,86000,75,1248,Dealer
38250,2013,Gasoline,Manual,90000,51,1200,Owner
31900,2005,Gasoline,Manual,130000,80,1229,Owner
56900,2016,Gasoline,Auto,31000,90,1398,Dealer
42500,2010,Gasoline,Auto,69000,176,1201,Owner
20000,2001,LPG,Manual,143000,90,1389,Owner
18750,1997,LPG,Manual,195000,60,1389,Dealer
36750,2008,Diesel,Manual,162300,75,1248,Owner
23500,1999,LPG,Manual,180000,101,1201,Owner
39600,2013,LPG,Auto,81000,100,1364,Owner
42900,2012,Diesel,Manual,114000,75,1248,Owner
40500,2006,Diesel,Auto,62500,70,1248,Owner
27250,2007,Diesel,Manual,153250,90,1248,Owner
32500,2005,Diesel,Auto,99000,70,1248,Owner
26500,2005,Diesel,Manual,158000,76,1201,Dealer
30600,2005,Diesel,Auto,143000,70,1248,Dealer
27900,2004,Gasoline,Manual,116000,75,1199,Dealer
44000,2012,Diesel,Manual,110550,75,1248,Owner
26000,2006,Diesel,Manual,165000,75,1248,Owner
36000,2009,Diesel,Manual,155000,76,1201,Owner
43500,2014,Diesel,Manual,71300,75,1248,Owner
44500,2014,Gasoline,Manual,44000,85,1229,Dealer
40900,2013,Diesel,Manual,124000,75,1248,Dealer
47750,2012,Diesel,Manual,74500,75,1248,Owner
33900,2008,Diesel,Manual,169000,75,1248,Dealer
38500,2011,Diesel,Manual,105000,75,1248,Owner
23750,1998,Gasoline,Auto,138000,90,1389,Dealer
48000,2015,Gasoline,Manual,15500,70,1229,Owner
47250,2013,Diesel,Manual,62000,75,1248,Owner
33500,2006,Diesel,Auto,187000,70,1248,Dealer
53250,2015,Gasoline,Auto,62000,100,1364,Dealer
48750,2011,Diesel,Manual,47750,51,1201,Owner
47000,2015,Gasoline,Auto,22000,90,1398,Owner
40500,2013,LPG,Manual,80000,85,1229,Dealer
31500,2006,Diesel,Auto,190000,70,1248,Dealer
59750,2016,Gasoline,Auto,20000,90,1398,Dealer
26000,2004,LPG,Auto,170000,75,1199,Owner
41750,2011,Gasoline,Manual,39000,80,1229,Owner
32500,2004,Gasoline,Manual,92000,90,1364,Dealer
24000,1998,Gasoline,Auto,154000,90,1389,Dealer
18500,1999,Diesel,Manual,198000,67,1488,Owner
28750,2004,Diesel,Manual,208000,70,1248,Dealer
24250,2000,LPG,Manual,149000,90,1389,Owner
45500,2014,Gasoline,Manual,17500,76,1200,Owner
56000,2016,Gasoline,Auto,38000,90,1398,Dealer
46000,2015,Gasoline,Manual,70000,90,1398,Dealer
23500,2000,LPG,Manual,217000,90,1389,Dealer
46500,2012,Diesel,Manual,44000,75,1248,Owner
27500,2003,LPG,Auto,207000,76,1200,Owner
31000,2006,Gasoline,Auto,99000,80,1229,Owner
38700,2012,Diesel,Manual,120000,51,1201,Dealer
22900,2004,Diesel,Manual,178000,70,1248,Owner
31750,2008,Diesel,Manual,205000,75,1248,Owner
39750,2011,Gasoline,Auto,111000,76,1201,Dealer
33000,2008,Diesel,Manual,142000,90,1248,Owner
34250,2011,Diesel,Manual,166000,75,1248,Dealer
51950,2013,Gasoline,Auto,30000,100,1364,Dealer
51750,2013,Gasoline,Auto,65000,100,1364,Dealer
36750,2011,Diesel,Manual,111000,51,1201,Owner
26750,2005,Diesel,Manual,166500,70,1248,Owner
30900,2013,Diesel,Manual,118000,75,1248,Owner
18500,1999,LPG,Manual,170000,90,1389,Owner
20850,1999,Gasoline,Manual,207000,90,1389,Dealer
31500,2008,Gasoline,Manual,175000,80,1229,Owner
50950,2015,Gasoline,Auto,42637,90,1398,Dealer
24900,2005,LPG,Manual,204000,80,1229,Dealer
43000,2014,Gasoline,Manual,38000,85,1229,Owner
27950,2012,Gasoline,Auto,43000,85,1229,Dealer
29500,2005,Diesel,Manual,176000,70,1248,Owner
44750,2011,Gasoline,Auto,116000,85,1229,Owner
26500,2001,LPG,Manual,134000,90,1389,Dealer
42000,2013,Diesel,Manual,139665,95,1248,Dealer
36250,2008,Diesel,Manual,131000,51,1201,Owner
29500,2007,Diesel,Manual,195000,75,1248,Dealer
30500,2008,Diesel,Manual,156000,75,1248,Owner
59999,2015,Gasoline,Auto,44000,90,1398,Dealer
59999,2015,Gasoline,Auto,32000,90,1398,Dealer
46750,2011,Gasoline,Auto,39000,85,1229,Owner
26500,2000,Gasoline,Auto,50000,90,1389,Owner
26250,2004,Diesel,Manual,206000,70,1248,Owner
31400,2006,Diesel,Manual,170000,70,1248,Dealer
56000,2016,Gasoline,Auto,8500,90,1398,Owner
33500,2005,Diesel,Auto,121000,70,1248,Dealer
24000,1998,Gasoline,Auto,160000,90,1389,Dealer
34750,2011,Diesel,Manual,225000,75,1248,Dealer
43500,2014,Gasoline,Manual,15000,85,1229,Owner
19500,2000,Gasoline,Manual,179000,65,1199,Owner
45000,2013,Diesel,Manual,70000,75,1248,Owner
25000,2005,Diesel,Manual,274000,70,1248,Owner
62750,2015,Gasoline,Auto,34000,90,1398,Dealer
44750,2013,Diesel,Manual,36400,75,1248,Owner
31500,2007,Gasoline,Manual,270000,101,1201,Owner
23500,2003,Diesel,Manual,205000,126,1601,Owner
29000,2007,Diesel,Manual,165000,76,1201,Owner
24000,2000,LPG,Manual,204000,90,1389,Owner
27500,2001,LPG,Manual,213000,90,1389,Owner
31500,2006,Diesel,Manual,174000,70,1248,Dealer
41900,2014,Gasoline,Manual,43000,85,1229,Owner
21000,2006,Diesel,Manual,233000,70,1248,Owner
32000,2006,Diesel,Manual,110000,70,1248,Owner
22000,1999,Gasoline,Manual,174975,65,1199,Owner
29000,2005,Gasoline,Manual,110000,80,1229,Dealer
44000,2010,Diesel,Manual,98520,90,1248,Dealer
48850,2015,LPG,Auto,70000,76,1201,Owner
48750,2016,LPG,Auto,15000,76,1201,Dealer
15000,1997,LPG,Manual,182000,60,1389,Owner
28000,2007,LPG,Manual,207000,80,1229,Owner
35999,2011,Diesel,Manual,150000,75,1248,Dealer
28000,2005,LPG,Manual,210000,80,1229,Dealer
51500,2015,Gasoline,Auto,81000,100,1364,Dealer
25000,2005,Diesel,Auto,220000,70,1248,Dealer
19500,1997,Gasoline,Manual,137000,76,1401,Owner
53000,2014,Gasoline,Auto,81000,85,1229,Dealer
28000,2006,Diesel,Auto,167000,70,1248,Owner
32750,2006,Gasoline,Manual,134500,80,1229,Dealer
16150,2000,Diesel,Manual,270000,67,1488,Dealer
61250,2017,Gasoline,Auto,6200,90,1398,Dealer
26000,2005,Gasoline,Manual,140000,80,1229,Dealer
25000,2004,Gasoline,Manual,181000,80,1229,Owner
31800,2009,Diesel,Manual,161000,51,1201,Owner
32000,2007,Gasoline,Manual,109000,80,1229,Owner
41250,2011,Diesel,Manual,129000,75,1248,Owner
25750,2000,LPG,Auto,164000,90,1389,Dealer
30500,2005,Gasoline,Auto,169000,76,1200,Owner
48500,2012,Gasoline,Auto,60500,100,1364,Dealer
39750,2013,Diesel,Manual,135000,51,1201,Owner
53500,2013,Gasoline,Auto,61000,100,1364,Dealer
18750,2003,Diesel,Manual,310000,201,1601,Dealer
41750,2009,Gasoline,Auto,83000,90,1364,Owner
25000,2003,Gasoline,Manual,175000,75,1199,Owner
46500,2011,Gasoline,Manual,21000,126,1200,Owner
27750,2002,LPG,Auto,149873,75,1199,Owner
20000,2004,Diesel,Manual,180000,70,1248,Owner
36900,2012,Diesel,Manual,149000,75,1248,Owner
25500,2004,Gasoline,Manual,170000,60,998,Owner
47750,2013,Gasoline,Auto,75000,100,1364,Dealer
49750,2012,LPG,Auto,81120,100,1364,Owner
61250,2016,Gasoline,Auto,4000,90,1398,Dealer
22750,1998,LPG,Manual,137000,90,1389,Dealer
38750,2014,Diesel,Manual,90000,75,1248,Dealer
31750,2004,Diesel,Manual,102000,70,1248,Dealer
14000,1997,LPG,Manual,192000,60,1389,Owner
26071,2003,Diesel,Manual,205000,51,1601,Owner
43900,2015,Gasoline,Manual,108000,70,1229,Dealer
29750,2004,Diesel,Auto,200000,70,1248,Dealer
38750,2009,LPG,Manual,64300,80,1229,Owner
32750,2004,Gasoline,Auto,92000,90,1364,Owner
26000,2003,Gasoline,Auto,183500,58,973,Owner
22500,1998,LPG,Manual,84000,90,1389,Owner
26000,2005,Diesel,Manual,134000,70,1248,Owner
25500,2004,Diesel,Manual,219000,70,1248,Owner
19500,2002,Gasoline,Manual,92250,75,1199,Owner
44250,2013,Gasoline,Auto,84500,85,1229,Owner
21500,1997,LPG,Auto,214000,60,1389,Owner
26500,2006,Diesel,Manual,184000,70,1248,Owner
46000,2014,Gasoline,Auto,42638,85,1229,Owner
38500,2007,Gasoline,Auto,112000,80,1229,Owner
61500,2016,Gasoline,Auto,9500,76,1201,Owner
27750,2005,Diesel,Manual,194000,70,1248,Dealer
12000,1992,LPG,Manual,99000,51,1401,Owner
26750,2007,Diesel,Manual,198000,75,1248,Dealer
22000,1998,LPG,Auto,112500,90,1389,Owner
30750,2007,Gasoline,Auto,172000,80,1229,Dealer
39950,2010,Gasoline,Manual,37000,76,1200,Dealer
32750,2005,Gasoline,Auto,119000,76,1200,Owner
28000,2005,Diesel,Manual,203000,70,1248,Owner
17000,1999,LPG,Manual,197000,65,1199,Owner
38900,2009,Gasoline,Auto,75000,76,1200,Owner
25000,2003,LPG,Manual,186000,90,1389,Owner
37950,2011,Diesel,Manual,143000,90,1248,Dealer
42000,2013,Gasoline,Manual,44000,85,1229,Owner
44750,2013,Diesel,Manual,73400,75,1248,Owner
25500,2006,Diesel,Manual,180000,51,1201,Dealer
43500,2013,Diesel,Manual,208000,75,1248,Dealer
18500,2000,LPG,Manual,192500,76,1201,Dealer
29500,2007,LPG,Manual,147000,51,1201,Owner
43250,2009,Gasoline,Auto,59000,90,1364,Owner
41000,2011,Gasoline,Manual,101026,100,1364,Owner
35500,2004,Diesel,Manual,126000,70,1248,Owner
37250,2011,Diesel,Manual,128200,75,1248,Owner
17750,2006,Diesel,Manual,250000,70,1248,Owner
45000,2013,Diesel,Manual,138000,76,1201,Owner
33500,2007,Diesel,Manual,171000,76,1201,Owner
30750,2006,Diesel,Manual,158000,75,1248,Owner
39900,2013,Diesel,Manual,192000,75,1248,Dealer
34000,2007,Diesel,Manual,147000,75,1248,Owner
30750,2007,LPG,Manual,178000,90,1364,Dealer
36400,2007,Gasoline,Manual,55000,80,1229,Owner
45500,2011,LPG,Auto,82000,100,1364,Dealer
26500,2004,LPG,Manual,174000,76,1200,Dealer
42500,2013,Gasoline,Manual,60000,100,1364,Dealer
19500,1997,LPG,Auto,187000,60,1389,Owner
58000,2016,Gasoline,Auto,12000,90,1398,Owner
41500,2013,Diesel,Manual,80000,75,1248,Dealer
40000,2010,Diesel,Manual,170000,75,1248,Owner
46500,2011,Gasoline,Auto,53000,101,1401,Owner
29250,2002,LPG,Auto,152000,76,1201,Owner
39500,2013,Gasoline,Manual,102000,85,1229,Dealer
35000,2009,Gasoline,Manual,52000,80,1229,Owner
48000,2013,Diesel,Manual,64000,75,1248,Owner
51000,2015,Gasoline,Manual,40000,70,1229,Owner
35000,2005,Diesel,Auto,84000,70,1248,Owner
33900,2006,Diesel,Manual,111000,75,1248,Owner
18250,1997,LPG,Manual,244088,76,1201,Owner
26300,2001,LPG,Auto,127500,90,1389,Owner
43750,2012,Diesel,Manual,118000,75,1248,Dealer
60000,2016,Gasoline,Auto,25000,90,1398,Owner
45250,2010,Gasoline,Manual,32567,100,1364,Owner
56500,2015,Gasoline,Auto,34500,90,1398,Dealer
21250,2003,Diesel,Manual,265000,101,1601,Owner
42250,2010,Diesel,Manual,100035,90,1248,Owner
21900,1999,Gasoline,Manual,164000,90,1389,Owner
19250,2000,Gasoline,Manual,103000,65,1199,Owner
52000,2014,Gasoline,Manual,8900,85,1229,Owner
15500,1996,Gasoline,Manual,130000,60,1389,Owner
25500,2000,LPG,Manual,210000,65,1199,Owner
22000,1998,LPG,Auto,214400,76,1201,Owner
21000,1998,LPG,Auto,155900,90,1389,Owner
34000,2007,Diesel,Manual,160000,75,1248,Owner
34000,2007,LPG,Manual,134000,80,1229,Owner
29000,2006,Diesel,Manual,163000,70,1248,Owner
42000,2014,Diesel,Manual,128150,75,1248,Owner
49750,2015,Gasoline,Auto,70000,100,1364,Dealer
75000,2012,Gasoline,Manual,35000,192,1598,Owner
36250,2008,LPG,Manual,95000,80,1229,Owner
24750,2005,LPG,Manual,156000,80,1229,Owner
39500,2011,Diesel,Manual,136000,75,1248,Owner
15800,1997,LPG,Manual,204000,90,1389,Owner
25750,2005,Diesel,Manual,420000,70,1248,Owner
14250,1996,LPG,Manual,207000,60,1389,Owner
25000,2004,LPG,Manual,245000,80,1229,Owner
22250,2000,LPG,Manual,206000,51,1201,Owner
36000,2009,Gasoline,Manual,67000,80,1229,Owner
58750,2015,Diesel,Manual,63000,75,1248,Dealer
36950,2009,Gasoline,Auto,134000,80,1229,Dealer
22500,1997,LPG,Manual,188000,76,1401,Owner
51000,2012,Gasoline,Auto,51010,100,1364,Owner
22500,2003,Diesel,Manual,230000,70,1248,Dealer
15750,2004,Diesel,Manual,186000,70,1248,Owner
23250,2000,Gasoline,Manual,145900,90,1389,Owner
45750,2014,Diesel,Manual,55000,75,1248,Dealer
13900,1994,LPG,Manual,272000,82,1389,Owner
32750,2010,Gasoline,Manual,116000,76,1200,Dealer
18250,1997,LPG,Manual,158000,90,1389,Dealer
18500,1998,LPG,Manual,271000,60,1389,Owner
44000,2014,LPG,Manual,61000,85,1229,Owner
39900,2014,Gasoline,Manual,50000,85,1229,Dealer
37500,2014,LPG,Manual,78000,100,1364,Dealer
22900,2001,LPG,Manual,242500,90,1389,Owner
25000,2004,Gasoline,Manual,229000,90,1364,Owner
16700,1996,LPG,Manual,158000,106,1598,Owner
27000,2004,LPG,Manual,164000,90,1364,Owner
32000,2012,Diesel,Manual,110000,51,1201,Owner
19850,1996,LPG,Manual,180000,60,1389,Owner
33500,2008,Diesel,Manual,188000,75,1248,Owner
30000,2005,Gasoline,Manual,113000,80,1229,Owner
34000,2010,Diesel,Manual,182000,75,1248,Owner
18000,1997,LPG,Manual,275000,76,1401,Owner
18500,2000,Diesel,Manual,232000,51,1401,Owner
30000,2008,Diesel,Manual,194000,75,1248,Owner
30500,2004,LPG,Manual,179000,80,1229,Dealer
41500,2014,Gasoline,Manual,95000,51,1201,Dealer
22000,2001,LPG,Manual,197000,90,1389,Owner
37750,2011,Diesel,Manual,132000,75,1248,Owner
49500,2012,Diesel,Manual,60000,95,1248,Owner
38750,2013,Gasoline,Manual,84000,85,1229,Dealer
39000,2013,Diesel,Manual,134000,95,1248,Owner
42500,2013,Diesel,Manual,78000,75,1248,Owner
